GeneID	Name	Exons	Size	A_0	A_1	B_0	B_1	C_0	C_1	D_0	D_1	E_0	E_1	F_0	F_1	G_0	G_1	H_0	H_1	I_0	I_1	J_0	J_1	K_0	K_1	KR_0	KR_1	L_0	L_1	M_0	M_1	N_0	N_1	O_0	O_1	P_0	P_1	Q_0	Q_1	S_0	S_1	T_0	T_1	U_0	U_1	
PVP01_0104900	phosphopantetheine adenylyltransferase%2C putative	1	4001	0	12	97	18	67	67	147	167	2	8	132	83	13	24	10	3	2	0	31	103	8	35	8	1	6	12	0	0	0	6	2	2	12	18	0	0	0	0	4	4	5	3	
PVP01_0105300	conserved Plasmodium protein%2C unknown function	1	2423	5	12	105	239	301	256	23	38	0	0	52	68	20	12	8	12	4	3	23	25	2	0	28	4	15	17	0	0	7	4	4	1	4	2	16	10	2	2	2	6	41	6	
PVP01_0105400	conserved Plasmodium protein%2C unknown function	1	3968	0	63	89	79	87	146	162	69	0	6	94	63	20	15	10	2	0	0	64	70	14	2	1	0	4	30	0	0	0	0	0	0	28	35	3	6	2	0	12	0	8	6	
PVP01_0105500	origin recognition complex subunit 2%2C putative	1	2624	12	13	504	547	723	516	48	781	4	17	485	586	26	18	18	10	0	2	58	78	2	4	90	33	56	46	8	0	30	26	24	0	2	10	49	44	20	2	1	22	97	35	
PVP01_0106200	importin-7%2C putative	1	3749	67	219	411	193	671	541	579	700	24	58	522	452	76	101	43	19	8	11	163	382	68	74	45	25	89	89	4	0	4	4	10	0	108	26	20	16	8	0	43	18	42	11	
PVP01_0106400	conserved Plasmodium protein%2C unknown function	3	186	2	2	43	41	44	48	66	57	1	1	51	19	3	7	0	5	0	0	6	19	7	3	1	1	1	1	0	0	0	0	0	0	9	16	0	1	1	2	2	6	1	8	
PVP01_0106500	conserved Plasmodium protein%2C unknown function	2	487	0	0	3	0	0	2	5	3	0	2	13	3	5	0	1	0	0	0	6	2	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	
PVP01_0106800	conserved Plasmodium protein%2C unknown function	1	1793	2	21	125	107	202	200	162	43	8	0	76	123	25	10	14	12	0	0	91	86	20	8	13	7	25	27	1	0	6	4	1	0	31	15	17	4	2	0	12	4	44	10	
PVP01_0106900	DNA mismatch repair protein MSH2%2C putative	1	2627	0	7	143	169	640	302	20	29	2	2	25	76	10	7	12	8	0	0	22	15	2	0	62	20	21	11	4	0	4	16	4	0	0	0	31	9	4	0	0	0	69	34	
PVP01_0107000	tRNA Threonine	1	72	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PVP01_0107200	tRNA Lysine	1	63	1	2	0	2	2	0	4	4	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	
PVP01_0107500	rhoptry-associated membrane antigen%2C putative	6	2187	3	12	62	157	463	726	3	10	1	2	48	28	90	5	13	13	0	0	28	34	5	2	57	2	39	38	11	0	2	6	2	0	5	0	18	5	0	2	0	1	3	5	
PVP01_0107600	AAA family ATPase%2C putative	1	1997	47	147	163	76	273	299	534	259	29	25	208	167	68	68	23	12	10	6	208	305	54	31	12	26	81	71	0	2	12	8	4	2	82	30	10	6	0	0	28	4	23	8	
PVP01_0107700	conserved Plasmodium protein%2C unknown function	1	4064	6	25	364	210	499	366	209	700	5	26	427	405	38	32	20	9	0	2	39	161	8	13	68	11	36	26	0	0	14	4	4	2	4	22	16	8	4	2	10	14	18	6	
PVP01_0107800	conserved Plasmodium protein%2C unknown function	1	977	29	66	172	80	202	200	280	253	13	2	201	152	26	21	8	2	0	4	67	132	14	15	11	5	12	31	0	0	0	11	2	2	45	29	4	7	2	0	3	9	5	7	
PVP01_0107900	E3 ubiquitin-protein ligase%2C putative	1	3281	7	135	544	380	604	687	312	560	10	31	335	300	70	70	33	35	1	5	115	337	31	37	52	23	39	67	0	0	14	15	7	2	50	49	21	15	4	4	10	8	50	11	
PVP01_0108000	RAP protein%2C putative	3	3168	2	20	133	48	103	99	285	271	9	12	336	190	32	25	7	8	0	0	49	109	32	14	8	4	4	14	0	0	2	0	0	0	23	44	2	0	2	0	8	2	6	6	
PVP01_0108100	ribosomal protein S8e%2C putative	1	779	27	63	141	77	184	129	210	202	7	23	170	95	39	25	4	7	2	3	62	130	20	13	33	28	51	47	0	0	7	9	4	2	53	11	7	4	0	0	14	2	15	9	
PVP01_0108200	cytoskeleton associated protein%2C putative	3	2358	6	8	140	91	174	202	100	142	10	5	317	133	15	11	9	0	2	0	8	70	0	7	19	13	18	15	0	0	4	4	0	2	2	20	8	2	8	0	4	0	18	3	
PVP01_0108300	conserved Plasmodium protein%2C unknown function	1	335	0	6	89	228	462	368	8	38	2	3	49	40	14	7	2	7	0	0	11	13	1	6	17	16	27	23	3	0	4	4	4	2	1	0	12	8	6	0	0	4	20	18	
PVP01_0108600	EKC/KEOPS complex subunit BUD32%2C putative	5	700	22	51	155	69	167	123	226	238	6	11	175	145	21	32	6	6	3	0	61	150	7	20	15	11	16	25	0	0	4	7	2	0	24	17	6	6	0	0	6	9	5	13	
PVP01_0108700	heat shock protein 90%2C putative	2	2245	368	2006	3753	1403	3760	3610	6969	5340	305	420	4407	7588	1389	851	442	175	110	93	3424	4084	1007	446	591	379	612	1011	26	13	69	164	110	42	1546	451	217	85	64	7	370	59	389	168	
PVP01_0109100	heat shock protein 110%2C putative	1	2663	203	932	1229	520	1546	1459	2222	1775	114	194	1131	1531	282	367	97	61	35	43	704	1388	265	158	104	133	281	460	0	2	19	69	37	4	344	163	46	33	21	2	97	38	96	68	
PVP01_0109300	chloroquine resistance transporter%2C putative	9	1261	26	43	65	19	166	91	168	120	27	6	171	102	24	34	11	9	2	3	48	97	8	14	13	30	40	20	0	1	7	1	0	0	14	18	0	0	0	0	9	4	17	2	
PVP01_0109400	cloroquine resistance associated protein cg1%2C putative	1	3245	18	57	96	69	168	148	211	136	6	14	174	108	21	19	10	27	0	2	51	96	30	13	6	8	18	19	0	2	4	5	6	0	33	10	5	4	4	0	10	2	8	6	
PVP01_0109800	conserved Plasmodium protein%2C unknown function	2	448	0	10	42	35	96	63	37	56	2	4	68	53	8	9	3	9	0	0	19	18	4	8	5	2	4	13	0	0	1	2	1	0	1	5	8	4	0	0	0	0	7	2	
PVP01_0110200	conserved protein%2C unknown function	1	212	0	3	16	3	17	10	21	14	0	0	33	8	8	3	0	1	0	0	7	8	3	0	0	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0	2	0	2	0	
PVP01_0110500	conserved Plasmodium protein%2C unknown function	1	1622	8	26	264	121	163	227	196	473	11	16	336	280	20	22	3	8	0	0	45	127	8	18	16	6	7	17	2	0	1	2	4	0	20	24	12	6	4	0	4	13	9	1	
PVP01_0110600	conserved Plasmodium protein%2C unknown function	1	5390	4	13	184	183	153	243	25	152	2	8	65	77	28	5	4	2	0	0	12	35	0	0	2	7	8	29	0	0	0	0	0	0	0	6	10	12	3	0	0	2	6	0	
PVP01_0110800	DNA repair protein RAD14%2C putative	1	1460	11	46	140	72	78	73	395	276	23	18	217	163	22	31	13	9	3	0	65	130	27	14	16	6	20	23	0	0	2	2	0	0	34	25	4	4	4	0	7	4	2	2	
PVP01_0111300	50S ribosomal protein L1%2C mitochondrial%2C putative	1	1187	0	14	119	54	109	75	215	149	6	8	162	63	14	23	12	8	0	0	40	107	8	6	9	2	4	14	0	0	0	2	0	0	19	28	4	6	2	0	4	0	11	8	
PVP01_0111600	conserved Plasmodium protein%2C unknown function	1	2594	18	85	522	667	1300	1019	386	500	17	33	452	281	50	67	53	35	2	2	92	260	35	36	69	36	108	86	8	0	19	31	14	6	30	42	52	32	11	0	19	10	73	38	
PVP01_0111700	conserved Plasmodium protein%2C unknown function	1	485	10	30	129	89	262	209	259	172	10	2	118	104	33	16	3	13	0	0	79	64	14	14	23	2	20	9	0	4	2	3	1	0	34	15	10	8	3	0	2	0	15	3	
PVP01_0111900	regulator of chromosome condensation%2C putative	1	2060	48	148	506	739	1242	1212	460	438	21	34	417	459	77	65	38	49	0	12	161	247	63	28	105	39	109	138	7	2	28	26	24	6	98	26	46	51	11	2	30	14	128	46	
PVP01_0112200	plasmepsin X%2C putative	1	1637	2	0	41	78	240	180	2	13	2	0	27	25	40	2	2	10	0	0	13	17	2	2	16	12	22	19	0	0	3	2	1	0	0	0	10	12	0	0	2	0	21	0	
PVP01_0112600	26S proteasome regulatory subunit RPN10%2C putative	2	1462	63	200	544	282	570	526	1026	1046	30	32	971	832	98	87	50	17	0	5	272	398	83	79	78	12	47	101	5	0	10	4	13	0	130	78	15	11	14	0	28	16	32	26	
PVP01_0112700	serine protease DegP%2C putative	5	2962	6	25	77	55	44	51	32	55	2	4	85	22	19	4	10	4	0	0	9	14	0	0	13	0	7	4	0	0	4	0	0	0	5	8	0	0	0	0	4	0	7	7	
PVP01_0112800	conserved Plasmodium protein%2C unknown function	5	4207	87	325	547	191	544	548	574	954	51	48	449	445	127	135	40	36	8	19	163	511	52	72	24	37	93	93	9	1	7	16	9	6	150	75	4	6	9	0	33	11	33	30	
PVP01_0113300	ATP-dependent RNA helicase DHH1%2C putative	1	3785	21	69	84	53	128	161	171	92	8	12	146	105	30	29	14	2	2	2	46	81	20	11	12	0	28	31	0	0	0	2	2	0	33	18	1	4	3	0	9	2	8	10	
PVP01_0113500	conserved Plasmodium protein%2C unknown function	1	1364	13	62	202	124	234	258	315	402	16	13	301	187	44	52	11	16	4	5	129	197	28	37	14	22	47	45	0	0	7	6	2	0	41	19	1	2	6	2	17	10	9	11	
PVP01_0113600	V-type proton ATPase subunit a%2C putative	1	2945	47	242	675	436	1069	862	679	968	40	52	491	386	71	74	28	20	2	2	126	317	38	24	55	27	57	74	6	0	14	7	15	2	57	30	32	21	6	1	26	29	97	26	
PVP01_0113900	kinesin-like protein%2C putative	5	2380	8	65	192	163	291	245	185	114	7	8	128	118	21	21	27	11	0	0	73	75	9	9	52	13	24	29	4	0	16	15	0	0	19	10	13	17	6	0	4	2	18	12	
PVP01_0114000	DnaJ protein%2C putative	1	2570	36	131	263	116	280	256	293	412	22	18	246	165	83	63	24	9	4	2	123	179	39	32	46	26	80	64	2	2	2	14	0	2	41	35	8	2	6	0	10	8	30	5	
PVP01_0114200	ferlin%2C putative	3	5130	6	21	536	405	1112	757	273	764	7	18	509	447	24	64	42	32	0	0	54	215	9	19	100	20	161	82	4	0	31	12	8	2	15	46	33	19	2	0	6	6	74	37	
PVP01_0114500	AAA family ATPase%2C putative	2	2953	9	47	95	41	91	77	195	93	8	10	97	66	40	24	14	2	0	2	30	87	18	6	4	2	4	27	0	0	0	4	2	0	22	12	2	2	0	0	4	9	0	2	
PVP01_0114600	conserved protein%2C unknown function	5	823	10	47	171	39	157	123	160	324	10	19	216	187	19	26	8	8	2	2	96	140	16	11	6	6	12	37	0	0	0	5	1	1	17	31	3	2	0	0	5	2	5	3	
PVP01_0114700	conserved Plasmodium protein%2C unknown function	1	1298	8	6	80	112	147	180	2	11	0	2	18	32	12	1	11	2	2	0	15	18	0	4	12	11	8	9	0	0	6	9	10	0	0	0	19	6	4	0	0	0	45	12	
PVP01_0114800	serine/threonine protein kinase%2C FIKK family	2	4267	0	8	280	324	368	706	35	439	2	9	200	386	28	16	7	10	0	0	21	62	2	12	15	11	24	19	0	0	2	4	1	0	6	15	22	6	14	0	2	12	10	2	
PVP01_0115000	conserved Plasmodium protein%2C unknown function	1	3452	40	76	247	277	596	382	237	427	48	32	355	416	73	85	18	20	6	2	138	296	11	15	74	74	147	79	4	2	23	26	10	0	19	22	35	18	4	2	19	6	101	24	
PVP01_0115100	acetyltransferase%2C putative	6	645	1	12	63	74	154	126	196	37	2	0	141	43	13	1	2	3	0	0	68	36	22	10	5	12	2	6	0	0	0	0	0	0	23	6	7	5	1	0	6	2	5	6	
PVP01_0115200	conserved Plasmodium protein%2C unknown function	1	3599	18	44	738	1690	4075	3056	51	76	8	8	45	196	44	34	45	63	2	6	166	140	17	20	139	91	257	127	2	0	34	36	20	6	0	8	156	162	26	5	0	1	281	110	
PVP01_0115500	alpha/beta hydrolase%2C putative	7	725	7	85	202	29	91	156	617	257	6	7	229	152	42	53	22	5	0	0	179	140	48	28	6	3	1	30	0	0	0	2	4	1	63	37	0	2	5	0	10	2	0	8	
PVP01_0115600	GTPase-activating protein%2C putative	1	1397	29	95	354	333	553	449	283	553	16	25	324	402	57	50	23	11	4	8	91	186	12	26	31	40	29	48	2	0	7	22	10	0	50	22	22	14	0	0	18	12	47	7	
PVP01_0115800	conserved Plasmodium protein%2C unknown function	1	6185	14	80	1334	1792	1812	2826	111	229	12	12	185	308	82	61	82	138	0	2	76	204	10	16	94	43	164	241	4	0	48	44	17	10	8	10	159	106	18	10	2	11	59	67	
PVP01_0115900	tRNA pseudouridine synthase%2C putative	2	1798	19	92	145	57	159	198	305	150	15	15	167	166	34	38	13	3	2	3	67	134	31	13	14	3	20	35	0	3	0	2	4	2	46	28	3	3	2	2	12	4	7	5	
PVP01_0116400	proteasome subunit beta type-4%2C putative	2	769	10	48	289	137	241	268	502	519	17	25	458	354	48	56	24	10	0	4	106	172	27	17	15	5	12	27	4	0	4	2	6	3	66	23	6	14	1	0	18	3	10	6	
PVP01_0117000	filament assembling protein%2C putative	2	1897	2	5	58	108	151	127	22	42	2	5	49	41	39	4	3	2	0	0	18	12	0	4	21	2	27	13	2	0	6	0	2	0	0	0	16	8	6	0	2	3	10	4	
PVP01_0117100	U3 small nucleolar RNA-associated protein 14%2C putative	1	2780	12	46	115	139	160	122	117	113	15	6	110	73	36	28	5	4	3	4	29	92	10	4	3	14	35	20	0	2	8	3	2	0	10	8	4	4	2	0	4	0	12	3	
PVP01_0117300	conserved Plasmodium protein%2C unknown function	2	409	10	18	221	445	669	771	34	35	3	2	88	68	0	20	20	43	0	1	48	68	13	8	18	7	19	46	1	0	7	13	2	1	6	2	29	13	6	1	0	0	19	29	
PVP01_0117700	inositol 5-phosphatase%2C putative	1	3890	4	22	186	53	104	122	156	227	8	2	123	62	34	18	19	2	0	0	38	73	12	12	4	2	8	6	0	0	4	2	0	0	28	14	4	6	2	0	4	4	6	4	
PVP01_0117900	periodic tryptophan protein 2%2C putative	1	3209	90	227	333	162	582	503	649	447	58	53	375	306	90	93	43	26	4	6	149	359	47	40	20	82	110	118	2	8	15	27	16	0	85	49	13	4	6	0	48	11	39	17	
PVP01_0118100	AP2 domain transcription factor%2C putative	2	7792	0	11	205	108	146	180	87	211	2	14	121	124	84	27	8	10	0	0	26	76	2	9	19	2	9	11	0	0	2	6	0	0	8	8	8	4	2	0	2	2	12	4	
PVP01_0118400	mannose-6-phosphate isomerase%2C putative	1	2576	24	98	274	95	341	257	279	461	20	34	302	272	51	65	24	10	5	5	57	239	32	25	17	16	40	76	0	0	5	15	2	2	41	35	10	7	8	2	23	8	14	2	
PVP01_0118600	conserved Plasmodium protein%2C unknown function	1	377	4	6	109	127	221	208	182	99	1	1	140	78	8	16	5	8	0	0	31	51	14	6	17	5	7	11	0	0	6	1	0	0	9	8	13	6	4	0	5	0	6	7	
PVP01_0118700	nucleolar protein 10%2C putative	1	1724	46	118	129	87	338	207	424	210	52	20	218	149	69	44	27	14	4	3	136	259	14	23	55	35	77	63	0	13	22	13	4	0	49	17	9	10	2	0	18	0	34	8	
PVP01_0118800	protein kinase%2C putative	5	2161	0	4	4	0	9	0	3	11	2	0	41	6	37	2	0	0	0	0	23	6	0	2	18	0	9	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	2	
PVP01_0118900	von Willebrand factor A domain-related protein%2C putative	1	887	0	0	22	54	115	175	4	3	0	0	119	4	0	0	2	6	0	0	10	3	0	0	2	4	6	8	0	0	0	3	2	0	1	0	3	7	2	0	0	0	8	2	
PVP01_0119000	5.8S ribosomal RNA	1	149	3	10	48	27	50	37	61	90	2	4	98	53	5	19	6	4	1	1	42	34	7	3	4	11	2	14	0	0	4	2	2	0	9	2	4	0	0	0	1	4	5	2	
PVP01_0119100	28S ribosomal RNA	1	6426	676	1629	6313	7981	8696	8280	5998	8134	358	361	3297	3775	953	2180	587	514	91	65	4593	4154	536	606	1057	1413	1990	1673	20	24	363	315	147	119	581	1149	444	429	160	20	354	642	582	1041	
PVP01_0119200	Plasmodium exported protein (PHISTc)%2C unknown function	2	2131	2138	4624	4054	2025	12185	6451	18833	7105	3187	1188	3722	7471	6106	2868	895	353	861	337	19599	10920	1869	861	6374	3088	5619	2878	37	179	2257	830	358	58	2867	661	578	263	114	20	1577	225	3817	815	
PVP01_0119400	Plasmodium exported protein%2C unknown function	2	895	175	458	878	729	1828	1295	1674	1074	158	90	833	783	226	254	64	56	39	22	727	918	171	78	222	187	430	279	2	7	99	58	31	9	193	50	73	54	27	5	115	20	259	97	
PVP01_0119500	ring-exported protein 3%2C putative	2	1009	125	413	724	384	1159	934	961	1082	149	124	535	838	219	297	72	59	40	16	505	1281	92	63	103	273	464	385	4	8	68	106	27	11	74	71	58	51	6	0	71	24	172	76	
PVP01_0119600	Plasmodium exported protein%2C unknown function	2	679	25	32	61	61	244	207	151	98	34	12	27	71	25	55	6	14	4	2	48	212	9	11	20	34	148	67	0	5	8	14	2	0	2	9	7	3	0	2	12	5	25	20	
PVP01_0119800	PIR protein	3	1452	2	1	62	139	14	9	11	12	0	0	14	20	9	4	2	1	0	0	10	14	0	2	6	0	9	0	0	0	1	1	5	0	0	0	4	2	5	2	0	0	15	8	
PVP01_0120000	PIR protein%2C pseudogene	7	908	14	39	64	19	0	0	237	150	13	11	7	10	33	35	0	11	0	1	94	154	32	12	3	2	21	32	0	0	2	4	2	0	0	0	3	2	2	0	7	1	0	2	
PVP01_0120100	PIR protein	3	1488	11	9	10	13	0	0	62	15	5	0	2	0	3	2	0	1	0	0	16	15	11	3	5	8	13	9	0	0	4	2	2	0	0	0	5	2	0	0	1	0	1	1	
PVP01_0120500	VIR protein	3	1086	0	6	21	63	0	0	25	10	1	0	1	1	11	11	2	3	0	4	29	44	6	1	10	0	39	16	0	0	2	5	0	0	0	0	4	2	0	0	0	0	2	3	
PVP01_0120600	Plasmodium exported protein%2C unknown function%2C pseudogene	2	1240	0	1	1	0	0	1	6	0	0	0	0	2	0	1	0	0	0	0	5	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	
PVP01_0120700	Plasmodium exported protein%2C unknown function	2	529	0	0	0	1	0	0	1	0	0	0	0	1	0	2	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
PVP01_0121700	PIR protein	3	1548	6	20	78	72	284	237	266	59	8	2	103	49	23	18	5	3	0	1	69	47	12	17	69	69	83	38	0	0	17	19	10	6	6	16	10	15	0	0	6	3	6	13	
PVP01_0121900	Plasmodium exported protein%2C unknown function%2C pseudogene	1	719	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	
PVP01_0122000	Plasmodium exported protein%2C unknown function	1	632	1	1	6	0	7	1	25	6	3	0	1	1	6	0	0	0	1	0	22	0	2	3	21	7	35	11	0	0	5	0	0	0	0	0	0	0	0	0	0	0	17	13	
PVP01_0122200	PIR protein	3	1305	8	22	29	26	2	5	87	23	6	4	21	18	1	5	0	0	2	2	24	16	2	1	7	22	22	22	0	0	0	1	0	9	11	7	8	2	0	2	9	0	2	0	
PVP01_0200100	PIR protein	3	1164	0	0	12	8	9	5	2	69	0	0	0	19	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
PVP01_0200400	PIR protein	2	808	0	0	3	0	6	6	5	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	6	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PVP01_0200500	PIR protein	3	852	0	2	0	1	13	4	2	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	
PVP01_0200600	PIR protein	3	750	6	2	4	4	10	8	4	2	0	0	1	3	3	0	0	0	0	0	0	2	2	0	2	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PVP01_0200700	VIR protein%2C pseudogene	3	813	0	2	2	9	36	26	19	14	12	0	15	5	6	2	0	0	0	0	54	14	0	0	17	2	2	13	0	0	0	2	0	0	3	2	2	3	2	0	0	0	1	0	
PVP01_0200800	PIR protein%2C pseudogene	3	807	0	0	2	0	19	15	2	2	0	0	4	0	2	2	0	0	0	0	3	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PVP01_0200900	PIR protein	3	996	0	0	2	0	0	0	0	14	0	0	2	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PVP01_0201000	PIR protein	3	1200	0	0	5	2	26	8	16	0	0	0	8	8	0	0	0	0	0	0	2	4	2	2	0	0	12	9	0	0	0	2	0	0	0	2	0	0	0	0	0	0	2	0	
PVP01_0201100	tryptophan-rich protein	2	982	12	77	99	56	276	136	424	140	38	25	199	161	277	68	11	5	16	1	1497	282	18	14	429	74	185	54	1	6	79	13	5	0	17	14	11	6	5	0	60	4	185	10	
PVP01_0201200	Plasmodium exported protein%2C unknown function	2	1270	212	502	1282	1228	2828	2149	2161	1451	214	118	1165	1272	456	337	115	59	55	32	1333	1107	153	132	481	273	581	373	10	13	169	103	32	8	253	107	88	89	33	8	131	49	357	121	
